Date;Time;Speed;Running;Battery Voltage;GSM signal strength;Odometer (Server);Satellites;Temperature A;Humidity A
2017-06-05;17:35;;;86;97;;;26.1;38.3
2017-06-05;17:37;;;;100;;;26;39.5
2017-06-05;17:42;;;86;100;;;25.7;40.7
2017-06-05;17:47;4;;86;100;;7;25.8;41.3
2017-06-05;17:52;;;;;;;;
2017-06-05;17:52;6;1;86;100;;10;26;41.3
2017-06-05;17:57;6;;86;100;;12;26.3;40.8
2017-06-05;18:02;4;;86;100;;12;26.8;39
2017-06-05;18:07;5;;86;87;;14;27.1;36.5
2017-06-05;18:12;6;;86;74;;14;27.4;35.3
2017-06-05;18:13;6;;;68;;;;
2017-06-05;18:17;4;;86;52;;12;27.7;35.3
2017-06-05;18:22;;;86;97;;;27.9;34.1
2017-06-05;18:27;;;86;94;;;28;32.9
2017-06-05;18:32;;;86;87;;;28;32.9
2017-06-05;18:37;1;;86;61;;6;28;34.1
2017-06-05;18:42;5;;83;65;;10;28;33.5
2017-06-05;18:47;;;83;32;;;27.9;32.9
2017-06-05;18:52;;;83;26;;;27.8;32.9
2017-06-05;18:57;;;83;26;;;27.6;31.6
2017-06-05;19:02;;;83;19;;;27.4;31.6
2017-06-05;19:07;6;;83;77;;12;26.9;31.6
2017-06-05;19:12;;;83;71;;13;26.5;32.2
2017-06-05;19:13;;;;77;;;;32.8
2017-06-05;19:17;;;83;61;;17;26.5;
2017-06-05;19:22;;;83;100;;18;26.5;32.8
2017-06-05;19:27;34;;83;94;;18;26.4;33.4
2017-06-05;19:32;;1;83;100;;18;26.3;33.4
2017-06-05;19:32;;;;;;;;
2017-06-05;19:37;;;83;90;;19;23.6;35.6
2017-06-05;19:42;;;80;94;;18;23;39.9
2017-06-05;19:47;;;80;90;;16;22.6;41
2017-06-05;19:52;;;80;97;;15;22.3;41.6
2017-06-05;19:57;;;80;94;;15;22;42.8
2017-06-05;20:02;;;80;94;;15;21.8;42.8
2017-06-05;20:07;;;80;94;;13;21.6;42.8
2017-06-05;20:12;;;80;97;;15;21.4;43.4
2017-06-05;20:13;;;;94;;13;21.3;
2017-06-05;20:17;;;77;;;15;21.2;44
2017-06-05;20:22;;;77;90;;13;21;43.9
2017-06-05;20:27;;;77;90;;12;20.9;43.9
2017-06-05;20:32;;;77;90;;13;20.8;44.5
2017-06-05;20:37;;;77;90;;13;20.6;45.1
2017-06-05;20:42;;;74;94;;11;20.5;45.1
2017-06-05;20:47;;;77;90;;12;20.4;44.5
2017-06-05;20:52;;;74;90;;11;20.3;45.1
2017-06-05;20:57;;;74;94;;13;20.1;45.1
2017-06-05;21:02;;;74;84;;10;20.1;45.7
2017-06-05;21:07;;;74;84;;11;20;45.7
2017-06-05;21:12;;;74;81;;12;19.8;45
